"Year","COASTAL CLASSIFICATION","Deaths...3","Age-standardised mortality rate...4","Lower confidence limit...5","Upper confidence limit...6","...7","...8","Deaths...9","Age-standardised mortality rate...10","Lower confidence limit...11","Upper confidence limit...12","...13"
"2011","COASTAL CITY",93,"8.8869522542684951","7.147964857761326","10.916266783909542",NA,NA,47,"4.5595532451630794","3.334335574056106","6.08294540228255",NA
"2011","LARGER NON-COASTAL",672,"6.9845651482030249","6.4521049037983937","7.517025392607656",NA,NA,327,"3.384466440412508","3.0159419790191029","3.7529909018059131",NA
"2011","LARGER OTHER COASTAL TOWN",65,"9.3725609106120871","7.2233452440473656","11.95836249559737",NA,NA,18,"2.4927561249264247","1.4756696048381144","3.9420307575548383","u"
"2011","LARGER SEASIDE TOWN",109,"8.6324601695908356","7.0065220542706168","10.258398284911054",NA,NA,60,"4.2625705639326474","3.242248054332777","5.4995861608640624",NA
"2011","NON-COASTAL CITY",175,"7.0940601689644049","6.0094071999174554","8.1787131380113536",NA,NA,88,"3.5687619243476254","2.845926165835615","4.4159588786717237",NA
"2011","SMALLER NON-COASTAL",148,"4.6576788641157707","3.9031862904962731","5.4121714377352683",NA,NA,86,"2.4940226206908718","1.9918415796892843","3.0836769594954641",NA
"2011","SMALLER OTHER COASTAL TOWN",15,"8.4560244595072778","4.7115571277584962","13.97820170252032","u",NA,4,":",":",":",NA
"2011","SMALLER SEASIDE TOWN",24,"9.6459803258830359","6.1157279080865283","14.440237617386241",NA,NA,9,":",":",":",NA
"2012","COASTAL CITY",110,"10.441977880708826","8.4615895117064888","12.422366249711164",NA,NA,36,"3.5120416407902488","2.4494656464802445","4.875398884315671",NA
"2012","LARGER NON-COASTAL",638,"6.606498543903121","6.0902506060807076","7.1227464817255344",NA,NA,321,"3.3251218118390038","2.9593148325977192","3.6909287910802884",NA
"2012","LARGER OTHER COASTAL TOWN",67,"9.8115022193802908","7.5840610066151868","12.483916911163178",NA,NA,31,"4.2742238791166596","2.8988486428501199","6.0738179567797754",NA
"2012","LARGER SEASIDE TOWN",140,"10.949760555031235","9.1291166044165521","12.770404505645917",NA,NA,59,"4.326589336627622","3.2826183519428032","5.5943527192021536",NA
"2012","NON-COASTAL CITY",213,"8.3129805785870019","7.1672388904262707","9.4587222667477331",NA,NA,91,"3.677206289768812","2.9464126221860423","4.5314615581769173",NA
"2012","SMALLER NON-COASTAL",152,"4.7717219098752057","4.0079469877525771","5.5354968319978344",NA,NA,87,"2.4967635712368628","1.9957611385195029","3.0845050706314749",NA
"2012","SMALLER OTHER COASTAL TOWN",7,":",":",":",NA,NA,6,":",":",":",NA
"2012","SMALLER SEASIDE TOWN",20,"8.4112224730568155","5.0578207674914708","13.10238303667653",NA,NA,11,"3.6355725517482003","1.7424272090494011","6.6192421924936244","u"
"2013","COASTAL CITY",118,"11.41111515644176","9.3080226946702176","13.514207618213302",NA,NA,53,"5.2148817524861641","3.8841465830208817","6.8483773365083858",NA
"2013","LARGER NON-COASTAL",706,"7.2846241697563849","6.7438681938100213","7.8253801457027485",NA,NA,350,"3.6105881835787232","3.2305860477878854","3.9905903193695611",NA
"2013","LARGER OTHER COASTAL TOWN",80,"11.558046529169646","9.1505034078840772","14.401961201415553",NA,NA,26,"3.5886377472929678","2.3366161158716108","5.2683621282548669",NA
"2013","LARGER SEASIDE TOWN",139,"10.777187621870937","8.9784810631287737","12.575894180613099",NA,NA,83,"5.9269128972048239","4.7032481979106144","7.3678801478846783",NA
"2013","NON-COASTAL CITY",258,"10.069439934640563","8.8107725879740997","11.328107281307027",NA,NA,106,"4.1419849962877056","3.3358590724427164","4.9481109201326952",NA
"2013","SMALLER NON-COASTAL",172,"5.4066297941228258","4.5935101459851211","6.2197494422605306",NA,NA,93,"2.6599617620384799","2.1434813889115931","3.262669480085187",NA
"2013","SMALLER OTHER COASTAL TOWN",12,"6.8177517628316604","3.4899684626544603","11.959982242610534","u",NA,5,":",":",":",NA
"2013","SMALLER SEASIDE TOWN",26,"9.9343429150356766","6.4106263801701182","14.661795242271317",NA,NA,16,"4.9322304993022428","2.7770532565386121","8.0710491283023593","u"
"2014","COASTAL CITY",104,"9.8714225491403962","7.93769549727645","11.805149601004342",NA,NA,47,"4.516402312186659","3.3008398263324423","6.0277895547212008",NA
"2014","LARGER NON-COASTAL",790,"8.177511096660993","7.6039423629955216","8.7510798303264643",NA,NA,370,"3.7801173643460322","3.3934865523058413","4.1667481763862231",NA
"2014","LARGER OTHER COASTAL TOWN",89,"13.085444518075354","10.488515865667818","16.126404186766468",NA,NA,36,"5.0093608042760449","3.5018221963375709","6.9436353333762355",NA
"2014","LARGER SEASIDE TOWN",157,"12.346705321900707","10.403702970071549","14.289707673729865",NA,NA,72,"4.985337549242189","3.8856951483090896","6.2961036084165816",NA
"2014","NON-COASTAL CITY",257,"10.020406492498493","8.7676743985066512","11.273138586490335",NA,NA,116,"4.7121693201312755","3.8402273621759058","5.5841112780866453",NA
"2014","SMALLER NON-COASTAL",198,"6.1741544436218039","5.3098184271281248","7.038490460115483",NA,NA,108,"3.1364219319974684","2.5395161103716233","3.7333277536233136",NA
"2014","SMALLER OTHER COASTAL TOWN",13,"7.4438362509462026","3.9490899214693802","12.751135597137818","u",NA,9,":",":",":",NA
"2014","SMALLER SEASIDE TOWN",32,"12.736994715838156","8.6097834684705905","18.114124052993937",NA,NA,13,"4.4006046647401869","2.2791820258925712","7.6223048749061029","u"
"2015","COASTAL CITY",138,"13.066741308814958","10.848584490982397","15.284898126647519",NA,NA,67,"6.5453388949600688","5.0555357720141014","8.3327583477421392",NA
"2015","LARGER NON-COASTAL",907,"9.3621086932248687","8.7496157835713149","9.9746016028784226",NA,NA,427,"4.3261397643004669","3.9144202348074097","4.737859293793524",NA
"2015","LARGER OTHER COASTAL TOWN",91,"13.415378448642006","10.785901435199861","16.489084053290739",NA,NA,29,"4.0480418701414465","2.7048485442307637","5.8036933137518432",NA
"2015","LARGER SEASIDE TOWN",192,"15.013979274030174","12.878535747129295","17.149422800931053",NA,NA,86,"6.1758773431469152","4.9237527376405144","7.6461055000846523",NA
"2015","NON-COASTAL CITY",285,"11.018762051194114","9.7130134157433332","12.324510686644896",NA,NA,101,"4.0714930680110193","3.2650596598916151","4.8779264761304235",NA
"2015","SMALLER NON-COASTAL",219,"6.9029570725215912","5.9841205313060044","7.821793613737178",NA,NA,106,"3.0141380687354049","2.4360527539495531","3.5922233835212567",NA
"2015","SMALLER OTHER COASTAL TOWN",13,"7.9373152452571967","4.2046918290980164","13.605866821968288","u",NA,5,":",":",":",NA
"2015","SMALLER SEASIDE TOWN",36,"14.203282341035148","9.8242765693911043","19.821844467584338",NA,NA,20,"6.2060933327100702","3.7116095911943101","9.6956912938992925",NA
"2016","COASTAL CITY",158,"15.474542598155733","13.026648689512928","17.922436506798537",NA,NA,84,"7.990574323937695","6.3548480065012907","9.914953471951554",NA
"2016","LARGER NON-COASTAL",913,"9.3425373765752866","8.7342782770602199","9.9507964760903533",NA,NA,464,"4.6613710671053328","4.2360237658055455","5.08671836840512",NA
"2016","LARGER OTHER COASTAL TOWN",107,"15.9086698496909","12.869756661747056","18.947583037634747",NA,NA,57,"7.8105852382491969","5.9066837851345584","10.130486922309004",NA
"2016","LARGER SEASIDE TOWN",208,"16.202231146899088","13.989051453952875","18.4154108398453",NA,NA,89,"6.3672046256267407","5.1011426240382693","7.849741884139263",NA
"2016","NON-COASTAL CITY",279,"10.530495846628041","9.2582404462709231","11.802751246985158",NA,NA,122,"4.8581132046853837","3.9778713923274127","5.7383550170433546",NA
"2016","SMALLER NON-COASTAL",219,"6.9047463299052287","5.9859734190536456","7.8235192407568119",NA,NA,134,"3.7928644301929952","3.1453453229459538","4.4403835374400362",NA
"2016","SMALLER OTHER COASTAL TOWN",13,"7.1266223741344934","3.7617201346739093","12.236733887767976","u",NA,10,"5.030086335597078","2.3970460851828803","9.2748430733051208","u"
"2016","SMALLER SEASIDE TOWN",32,"12.230690341423141","8.2415160188642638","17.42797853318735",NA,NA,17,"5.4150083586796089","2.9845268394502553","8.9146548905838969","u"
"2017","COASTAL CITY",156,"14.947563315901547","12.56908119959979","17.326045432203305",NA,NA,80,"7.7589319787478095","6.1220441280596241","9.6925087168904902",NA
"2017","LARGER NON-COASTAL",917,"9.368293567527207","8.7593697097314767","9.9772174253229373",NA,NA,470,"4.7345235576416771","4.3053706275053596","5.1636764877779946",NA
"2017","LARGER OTHER COASTAL TOWN",113,"16.488952297339338","13.426949127788918","19.550955466889757",NA,NA,43,"6.0250233544374279","4.3533061915067748","8.124441155252871",NA
"2017","LARGER SEASIDE TOWN",191,"14.876104796865276","12.752516456078247","16.999693137652304",NA,NA,100,"7.2603702456684491","5.8232300294227102","8.6975104619141881",NA
"2017","NON-COASTAL CITY",353,"13.423130089028632","11.990793865553266","14.855466312503998",NA,NA,111,"4.4237826033909178","3.5886109348354891","5.2589542719463465",NA
"2017","SMALLER NON-COASTAL",281,"8.7936028305624756","7.7603605899033568","9.8268450712215945",NA,NA,126,"3.5686066985909095","2.9393913362688342","4.1978220609129853",NA
"2017","SMALLER OTHER COASTAL TOWN",18,"10.268143500172734","6.0377621925524814","16.296130494776808","u",NA,7,":",":",":",NA
"2017","SMALLER SEASIDE TOWN",31,"11.890236633293634","7.9430581318857509","17.054877428990075",NA,NA,22,"7.7711902041180814","4.7188428036951962","11.973962932658347",NA
"2018","COASTAL CITY",146,"13.996414708116145","11.684474122210307","16.308355294021982",NA,NA,66,"6.4467215510751892","4.9713475256548518","8.2193189845292363",NA
"2018","LARGER NON-COASTAL",1047,"10.674925199451797","10.025892592259202","11.323957806644392",NA,NA,520,"5.228123313761186","4.777712943375815","5.678533684146557",NA
